,Name , K0 , err_minus , err_plus , K100 , err_minus .1, err_plus .1, alpha , err_minus .2, err_plus,Name,z,c500,err.7,c,err.8,K_fit_range,RA,DEC,
90,ABELL_2345,286.7598236,114.1447127,114.1447127,143.1269835,175.8499641,175.8499641,0.694357172,0.381472224,0.381472224,ABELL_2345,0.1765,4.741,0.645,7.63,0.868,0,21:27:09.528      ,-12:10:29.43      ,
156,ABELL_2355,393.2931414,86.8689383,86.8689383,75.51782804,152.8165177,152.8165177,1.182893573,0.52872127,0.52872127,ABELL_2355,0.1244,7.126,0.738,18.909,1.677,0,21:35:16.690      ,1:25:03.60        ,
132,ABELL_2384,25.35912117,2.675275897,2.675275897,139.6891667,6.596567389,6.596567389,1.270953033,0.055527564,0.055527564,ABELL_2384,0.0943,4.187,0.202,12.326,0.273,25,21:52:21.178      ,-19:32:51.90      ,
170,ABELL_2390,14.25961229,1.928682982,1.928682982,151.8432126,5.092983864,5.092983864,1.069627562,0.029617703,0.029617703,ABELL_2390,0.228,4.745,0.077,8.362,0.078,0,21:53:36.826      ,17:41:44.38       ,
298,ABELL_2409,12.42390237,34.87583397,34.87583397,167.9929635,57.5418811,57.5418811,0.511750073,0.193619362,0.193619362,ABELL_2409,0.1479,2.99,0.242,6.283,0.282,10,22:00:52.567      ,20:58:06.56       ,
33,ABELL_2415,2.830438898,0.78099615,0.78099615,142.1545087,6.584566229,6.584566229,1.026694915,0.04554684,0.04554684,ABELL_2415,0.0581,5.77,0.438,-,-,10,22:05:38.595      ,-5:35:29.92       ,
245,ABELL_2426,54.81814076,12.5147735,12.5147735,104.5996116,20.30994115,20.30994115,1.306931728,0.200509684,0.200509684,ABELL_2426,0.0978,4.669,0.382,21.841,0.961,10,22:14:32.332      ,-10:22:13.85      ,
16,ABELL_2443,164.2616866,42.6412057,42.6412057,113.1501467,83.70111071,83.70111071,0.799025085,0.365097137,0.365097137,ABELL_2443,0.108,2.222,0.167,12.831,0.454,0,22:26:06.485      ,17:21:55.46       ,
195,ABELL_2445,69.91472572,11.2935264,11.2935264,87.84084624,15.91233471,15.91233471,0.991777505,0.116865999,0.116865999,ABELL_2445,0.166,2.112,0.231,22.879,0.848,0,22:26:55.703      ,25:50:10.47       ,
51,ABELL_2457,24.0492158,17.81575478,17.81575478,181.2004648,33.32907623,33.32907623,0.699811063,0.119506321,0.119506321,ABELL_2457,0.0594,4.486,0.622,-,-,0,22:35:41.116      ,1:29:10.28        ,
118,ABELL_2485,74.81380637,26.48631501,26.48631501,123.0315067,41.70869729,41.70869729,0.955823054,0.190003524,0.190003524,ABELL_2485,0.2472,9.897,0.713,26.589,1.607,0,22:48:30.980      ,-16:06:28.26      ,
203,ABELL_2507,198.2272875,27.12143618,27.12143618,36.56989076,18.94873787,18.94873787,1.743055446,0.176050869,0.176050869,ABELL_2507,0.196,8.136,0.993,-,-,0,22:56:52.590      ,5:30:15.51        ,
176,ABELL_2537,78.80610706,12.79531031,12.79531031,110.2224808,21.59887818,21.59887818,1.101372543,0.181668628,0.181668628,ABELL_2537,0.295,3.985,0.18,11.975,0.31,0,23:08:22.313      ,-2:11:29.87       ,
46,ABELL_2550,-0.844610628,2.976470219,2.976470219,114.2007989,5.201587144,5.201587144,0.714456986,0.059792969,0.059792969,ABELL_2550,0.1226,4.711,0.354,25.541,0.767,0,23:11:35.122      ,-21:44:41.53      ,
248,ABELL_2556,12.04112375,1.362859677,1.362859677,123.6468025,4.079973053,4.079973053,1.084422771,0.044292595,0.044292595,ABELL_2556,0.0871,5.043,0.19,13.726,0.263,0,23:13:01.414      ,-21:38:04.45      ,
292,ABELL_2597,9.501068707,0.287791104,0.287791104,99.23374208,1.03504256,1.03504256,1.206011578,0.014623946,0.014623946,ABELL_2597,0.0852,2.248,0.044,14.665,0.082,0,23:25:19.778      ,-12:07:27.62      ,
305,ABELL_2626,13.52763109,2.256718616,2.256718616,123.8323896,4.378638153,4.378638153,0.861341938,0.050810226,0.050810226,ABELL_2626,0.0553,3.463,0.15,8.202,0.16,0,23:36:30.451      ,21:08:47.36       ,
262,ABELL_2631,76.91434718,106.4087099,106.4087099,230.75101,114.6282721,114.6282721,0.411877795,0.217903037,0.217903037,ABELL_2631,0.273,6.444,0.436,5.46,0.392,0,23:37:38.561      ,0:16:05.02        ,
233,ABELL_2667,19.09767186,2.169453388,2.169453388,93.03679521,5.622606289,5.622606289,1.241401909,0.054442216,0.054442216,ABELL_2667,0.23,10.319,0.292,11.301,0.307,0,23:51:39.396      ,-26:05:02.76      ,
286,ABELL_2670,30.01158173,4.629456901,4.629456901,125.8082952,8.012983352,8.012983352,0.817170147,0.061600338,0.061600338,ABELL_2670,0.0762,2.049,0.14,49.882,1.057,0,23:54:08.832      ,-10:25:30.66      ,
234,ABELL_2717,29.92786946,6.216723573,6.216723573,123.4737191,9.68441754,9.68441754,0.932839724,0.114205884,0.114205884,ABELL_2717,0.049,2.766,0.161,6.725,0.179,0,0:03:12.967       ,-35:56:00.13      ,
